datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-07-31;1268;Kokers (20099);- Afmeting&nbsp, 4x koker 30x40x2x180<p>- Kleur Ral 9001</p><p>- Materiaal Aluminium&nbsp,</p>;1;30;stuks
2025-07-31;1268;Montage uitvalscherm (20250);<p>- Montage</p>- Afwerken elektra<br><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;2;215.29;stuks
2025-07-31;1268;Montage uitvalscherm (20250);<p>- Montage</p>- Afwerken elektra<br><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;2;165.29;stuks
2025-07-31;1268;Suneye (20131);Breedte: 5500 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 9001</p><p>Kleur doek: 8555</p><p>Bediening: Somfy IO motor;1;2771.07;stuks
2025-07-31;1268;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-07-31;1268;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;2;95.04;stuks
2025-07-31;1268;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-31;1268;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;123.14;stuks
2025-07-31;1268;Korting (20090);15% korting;1;-1428.38;prijs
2025-07-31;1268;Aanbetaling (4);Aanbetaling - factuur 728 van 21-05-2025.;-1;3237.67;prijs
2025-07-31;1266;Telis 5 RTS (20111);- 1 kanaals afstandsbediening;1;90.91;stuks
2025-07-31;1269;Rolluik (RollSUPER) (20064);Breedte: 2090 mm<p>Hoogte:&nbsp, 1720 mm</p><p>Kastmaat: 170 mm (schuin)</p><p>Kleur Omvatting: RAL 9001</p><p>Kleur Pan;1;1022.31;stuks
2025-07-31;1269;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-31;1269;Montage rolluik solar (20241);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;1;103.31;stuks
2025-07-31;1269;Korting (20090);Tijdelijke actie, 15% korting;1;-178.52;prijs
2025-07-31;1269;Aanbetaling (4);Aanbetaling - factuur 622 van 07-05-2025.;-1;403.63;prijs
2025-07-31;1270;Inklemhor Unilux (20076);<p><span style="">Breedte (dagmaat): 685 mm</span></p><p>Hoogte (dagmaat): 1432 mm</p><p>Type kozijn: Kunststof</p><p>Sy;1;139.67;stuks
2025-07-31;1270;Inklemhor Unilux (20076);<p>Breedte (dagmaat): 673 mm</p><p>Hoogte (dagmaat): 1432 mm</p><p>Type kozijn: Kunststof</p><p>Systeemkleur: Ral 9005 S;2;139.67;stuks
2025-07-31;1270;Montage inklemhor. (20261);- Montage inklemhor.;3;16.53;stuks
2025-07-31;1270;Aanbetaling (4);Aanbetaling - factuur 1056 van 04-07-2025.;-1;159.32;prijs
2025-07-31;1271;Rolluik (RollSUPER) (20064);Breedte: 3220 mm<p>Hoogte:&nbsp, 970 mm</p><p>Kastmaat: 138 mm (schuin)</p><p>Kleur Omvatting: RAL 9001</p><p>Kleur Pant;2;764.46;stuks
2025-07-31;1271;Montage Rolluik Bedraad (20065);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;2;123.97;stuks
2025-07-31;1271;Hoeklijnen (20100);Maten: 120x20x3110mm <span style="font-weight: bold,">2x</span><p>Kleur: Ral 9001</p><p>Materiaal: Aluminium</p>;1;223.14;stuks
2025-07-31;1271;Kokers (20099);- Afmeting 80x40x970mm <span style="font-weight: bold,">4x</span><p>- Kleur Ral 9001</p><p>- Materiaal Aluminium</p>;1;152.07;stuks
2025-07-31;1271;Diverse zonwering. (20212);- Dakkapel heffing (lange arbeid);1;61.98;prijs
2025-07-31;1271;Korting (20090);Tijdelijke actie, 15% korting;1;-332.23;prijs
2025-07-31;1271;Aanbetaling (4);Aanbetaling - factuur 682 van 14-05-2025.;-1;752.73;prijs
2025-07-31;1272;Rolgordijn (20176);Breedte: 1750mm<p>Hoogte: 1830mm</p><p>Bedieningszijde: Rechts</p><p>Prijsgroep: Screendoek&nbsp,</p><p>Bediening: Somfy;1;625.62;stuks
2025-07-31;1272;Rolgordijn (20176);Breedte: 1280mm<p>Hoogte: 1830mm</p><p>Bedieningszijde: Rechts</p><p>Prijsgroep: Screen doek</p><p>Bediening: Somfy RTS ;1;577.69;stuks
2025-07-31;1272;Korting (20090);- Korting + Berekening 1 motor minder;1;-481.82;prijs
2025-07-31;1272;Aanbetaling (4);Aanbetaling - factuur 1045 van 04-07-2025.;-1;288.6;prijs
2025-07-31;1273;Suneye (20131);Breedte: 4700 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 9010 (wit)&nbsp,</p><p>Kleur doek: 1400/707</p><p>Bediening;1;2647.93;stuks
2025-07-31;1273;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-07-31;1273;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-07-31;1273;Demontage oude knikarmscherm (20097);- Inclusief afvoeren.;1;75;stuks
2025-07-31;1273;Korting (20090);15% Korting;1;-448.64;prijs
2025-07-31;1273;Aanbetaling (4);Aanbetaling - factuur 665 van 13-05-2025.;-1;1017.15;prijs
2025-08-02;1274;Aanbetaling (4);Aanbetaling Prijsopgave pergola (3911);1;2312.4;prijs
2025-08-02;1275;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3988);1;1132.23;prijs
2025-08-02;1276;Aanbetaling (4);Aanbetaling Prijsopgaaf Sonty. (3940);1;1309.42;prijs
2025-08-02;1277;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3990);1;874.38;prijs
2025-08-02;1278;Aanbetaling (4);Aanbetaling Prijsopgaaf Screen (3982);1;1556.7;prijs
2025-08-02;1279;Suneye (20131);Breedte: 4800 mm<p>Uitval: 2000 mm</p><p>Kleur cassette: Ral 9001</p><p>Kleur doek: 1330 / 512</p><p>Bediening: Somfy IO;1;2355.37;stuks
2025-08-02;1279;Verlengd montage profiel rond (50cm) (20041);<p>- Set verlengde muursteunen t.b.v. montage scherm<br>- RAL 9001<br></p>;1;82.64;stuks
2025-08-02;1279;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-08-02;1279;Situo 5 IO (20048);<p>- 5 kanaals afstandsbediening</p>;1;95.04;stuks
2025-08-02;1279;Eolis 3D windsensor IO (20050);- Windbeveiliging in de voorlijst<p>- De windsensor is een hulp stuk hier kunnen geen garantie rechten aan verleend word;1;123.14;stuks
2025-08-02;1279;Zip Design (20092);Breedte: 2175 mm<p>Hoogte: 2125 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: 9001</p><p>Kleur doek: 001010 Grey Char;1;1269.42;stuks
2025-08-02;1279;Montage screen bedraad. (20251);- Montage<p></p><p>- Klein materiaal</p><p>- Afwerken elektra</p><p>- Afstellen motor</p><p></p>;1;123.97;stuks
2025-08-02;1279;Los screendoek (20115);Breedte: 600 mm<p>Hoogte: 1300 mm</p><p>Doek kleur: 001010</p><p><br></p><p>Inclusief montage</p>;1;144.63;stuks
2025-08-02;1279;Korting (20090);<span style="font-weight: bold,">- 15% korting.</span>;1;-667.76;prijs
2025-08-02;1279;Hoogwerker (20085);Inclusief transport kosten.<p>Inclusief rijplaten voor straatwerk.</p>;1;454.55;stuks
2025-08-02;1279;Aanbetaling (4);Aanbetaling - factuur 579 van 30-04-2025.;-1;1691.57;prijs
2025-08-02;1280;Suneye (20131);Breedte: 5250 mm<p>Uitval: 3000 mm</p><p>Kleur cassette: RAL 7016 Structuur (antraciet)</p><p>Kleur doek: 1400/701</p><p;1;2687.6;stuks
2025-08-02;1280;Situo 1 IO (20047);- 1 kanaal afstandsbediening;1;61.98;stuks
2025-08-02;1280;Montage Knikarmscherm uitgebreid. (20237);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;247.93;stuks
2025-08-02;1280;Korting (20090);Tijdelijke actie, 15% korting;1;-450.41;prijs
